subject,lambda,session_iv_n,session_iv_csw_count,session_iv_csw_percent,session_iv_csv_count,session_iv_csv_percent,session_v_n,session_v_csw_count,session_v_csw_percent,session_v_csv_count,session_v_csv_percent
B01,1.0,3727,67,1.7976925140863966,24,0.6439495572846794,3791,72,1.8992350303350038,29,0.7649696649960432
B02,1.0,2891,62,2.1445866482186093,17,0.588031822898651,3786,67,1.7696777601690439,34,0.8980454305335447
B03,1.0,3714,48,1.2924071082390953,26,0.7000538502961766,3705,52,1.4035087719298245,22,0.5937921727395412
B04,1.0,3736,47,1.2580299785867237,18,0.4817987152034261,3725,45,1.2080536912751678,15,0.40268456375838924
B05,1.0,3333,29,0.8700870087008701,9,0.27002700270027,3716,46,1.2378902045209903,14,0.3767491926803014
B06,1.0,3756,71,1.8903088391906284,20,0.5324813631522897,3684,87,2.3615635179153096,32,0.8686210640608035
B07,1.0,3759,52,1.3833466347432828,19,0.5054535780792764,3684,51,1.3843648208469055,25,0.6786102062975027
B08,1.0,3795,51,1.3438735177865613,23,0.6060606060606061,3711,41,1.1048234977095122,19,0.511991376987335
B09,1.0,3731,67,1.7957652103993567,33,0.8844813722862503,3665,48,1.30968622100955,20,0.5457025920873124
